text,text_cleaned,text_removal,text_normalized,text_manual_replaced,text_without_stopword,label
Kita rakyat miskin Indonesia siap ppkm level lagi setelah ada yg liburan pulang bawa virus omicron. Terimakasih banyak ya orang kaya,kita rakyat miskin indonesia siap ppkm level lagi setelah ada yg liburan pulang bawa virus omicron terimakasih banyak ya orang kaya,rakyat miskin indonesia ppkm level yg libur pulang bawa virus omicron terimakasih kaya,rakyat miskin indonesia ppkm level yang libur pulang bawa virus omicron terimakasih kayak,rakyat miskin indonesia ppkm level yang libur pulang bawa virus omicron terimakasih kayak,rakyat miskin indonesia ppkm level yang libur pulang bawa virus omicron terimakasih kayak,0
"Baru liat skrg usaha orang udah mulai rame2 lagi kok sedih denger omicron, ya Allah capekkk",baru liat skrg usaha orang udah mulai rame lagi kok sedih denger omicron ya allah capekkk,liat skrg usaha udah rame sedih denger omicron allah capekkk,lihat sekarang usaha sudah ramai sedih dengar omicron allah capekkk,lihat sekarang usaha sudah ramai sedih dengar omicron allah capekkk,lihat sekarang usaha sudah ramai sedih dengar omicron allah capekkk,1
"tapi yang positif omicron ashanty, ngerti gak? gue jg tau yg keluar negeri bkn cm ashanty",tapi yang positif omicron ashanty ngerti gak gue jg tau yg keluar negeri bkn cm ashanty,positif omicron ashanty ngerti gak gue jg tau yg negeri bkn cm ashanty,positif omicron ashanty mengerti enggak saya juga tahu yang negeri bukan cuma ashanty,positif omicron ashanty mengerti enggak aku juga tahu yang negeri bukan cuma ashanty,positif omicron ashanty erti tidak aku juga tahu yang negeri bukan cuma ashanty,1
Seandainya Omicron menimbulkan gejala berat maka artinya vaksin tidak bekerja seperti seharusnya. Seandainya sebaliknya maka kenapa harus panik? Get over it!,seandainya omicron menimbulkan gejala berat maka artinya vaksin tidak bekerja seperti seharusnya seandainya sebaliknya maka kenapa harus panik get over it,omicron timbul gejala berat vaksin panik get over it,omicron timbul gejala berat vaksin panik get over itu,omicron timbul gejala berat vaksin panik get over itu,omicron timbul gejala berat vaksin panik get over itu,1
"Beritanya mau PTM %. Yakin? Kuatir euy. Pertama, omicron. Kedua, PTMT kemaren belum banyak ujian offline. Pasti pada gagap. Harusnya try out ujian di sekolah. Agar guru ga repot. Nanti hasilnya ada di mid semester. Tantangannya bulan jelang naik kelas. Ingat gada ujian akhir",beritanya mau ptm yakin kuatir euy pertama omicron kedua ptmt kemaren belum banyak ujian offline pasti pada gagap harusnya try out ujian di sekolah agar guru ga repot nanti hasilnya ada di mid semester tantangannya bulan jelang naik kelas ingat gada ujian akhir,berita ptm kuatir euy omicron ptmt kemaren uji offline gagap try out uji sekolah guru ga repot hasil mid semester tantang jelang kelas gada uji,berita ptm kuatir euy omicron ptmt kemarin uji offline gagap try out uji sekolah guru enggak repot hasil mid semester tantang jelang kelas enggak ada uji,berita ptm kuatir euy omicron ptmt kemarin uji offline gagap try out uji sekolah guru enggak repot hasil mid semester tantang jelang kelas enggak ada uji,berita ptm kuatir euy omicron ptmt kemarin uji offline gagap try out uji sekolah guru tidak repot hasil mid semester tantang jelang kelas tidak ada uji,1
"Kampret emang, makasih ya oleh oleh omicron nya",kampret emang makasih ya oleh oleh omicron nya,kampret emang makasih omicron,sialan memang terima kasih omicron,sialan memang terima kasih omicron,sial memang terima kasih omicron,0
Wisata murah ke Turki oleh-olehnya omicron. Sarap!,wisata murah ke turki oleh olehnya omicron sarap,wisata murah turki omicron sarap,wisata murah turki omicron sarap,wisata murah turki omicron sarap,wisata murah turki omicron sarap,0
"ya emg bukan ashanty doang, TAPI YANG POSITIF OMICRON ASHANTY BANG...",ya emg bukan ashanty doang tapi yang positif omicron ashanty bang,emg ashanty doang positif omicron ashanty bang,memang ashanty saja positif omicron ashanty bang,memang ashanty saja positif omicron ashanty bang,memang ashanty saja positif omicron ashanty bang,1
Ini mah bakalan ppkm lagi deh level biar mantap sekalian maksih yg udah pulang bawa virus omicron nya,ini mah bakalan ppkm lagi deh level biar mantap sekalian maksih yg udah pulang bawa virus omicron nya,mah ppkm deh level biar mantap maksih yg udah pulang bawa virus omicron,mah ppkm deh level biar mantap terima kasih yang sudah pulang bawa virus omicron,mah ppkm deh level biar mantap terima kasih yang sudah pulang bawa virus omicron,mah ppkm deh level biar mantap terima kasih yang sudah pulang bawa virus omicron,1
virus omicron itu menyerang sistem pernapasan/gimana?,virus omicron itu menyerang sistem pernapasan gimana,virus omicron serang sistem napas gimana,virus omicron serang sistem napas bagaimana,virus omicron serang sistem napas bagaimana,virus omicron serang sistem napas bagaimana,1
Babik lah kalo smp ada rd wave krn omicron,babik lah kalo smp ada rd wave krn omicron,babik kalo smp rd wave krn omicron,babik kalau sampai rd wave karena omicron,babik kalau sampai rd wave karena omicron,babik kalau sampai rd wave karena omicron,0
Jalan2 ah liburan ah keluar negeri biar pulang bawa virus omicron bukan keren oleh2 nya,jalan ah liburan ah keluar negeri biar pulang bawa virus omicron bukan keren oleh nya,jalan ah libur ah negeri biar pulang bawa virus omicron keren,jalan ah libur ah negeri biar pulang bawa virus omicron keren,jalan ah libur ah negeri biar pulang bawa virus omicron keren,jalan ah libur ah negeri biar pulang bawa virus omicron keren,0
"ok, ya terus? apa dia ga mikirin dampak nya ya? kan kita semua tau ada virus omicron ini, ashanty pun tau dia punya penyakit autoimun , apa tidak berpikir sejauh itu?",ok ya terus apa dia ga mikirin dampak nya ya kan kita semua tau ada virus omicron ini ashanty pun tau dia punya penyakit autoimun apa tidak berpikir sejauh itu,ok ga mikirin dampak tau virus omicron ashanty tau sakit autoimun pikir,ok enggak memikirkan dampak tahu virus omicron ashanty tahu sakit autoimun pikir,ok enggak memikirkan dampak tahu virus omicron ashanty tahu sakit autoimun pikir,ok tidak pikir dampak tahu virus omicron ashanty tahu sakit autoimun pikir,1
"""dek km gausah berangkat ya, omicron lg tinggi. pending dulu aja"" oh jadi karena ini bokap nyokap ngomong gini pftttt~",dek km gausah berangkat ya omicron lg tinggi pending dulu aja oh jadi karena ini bokap nyokap ngomong gini pftttt,dek km gausah berangkat omicron lg tinggi pending aja oh bokap nyokap ngomong gin pftttt,adik kamu enggak usah berangkat omicron lagi tinggi pending saja oh ayah ibu mengomong gin pftttt,adik kamu enggak usah berangkat omicron lagi tinggi pending saja oh ayah ibu mengomong gini pftttt,adik kamu tidak perlu berangkat omicron lagi tinggi pending saja oh ayah ibu omong begini pftttt,1
"mulai menakutkan ya, flu batuk pilek skrg lgsung pd ngirane omicron",mulai menakutkan ya flu batuk pilek skrg lgsung pd ngirane omicron,takut flu batuk pilek skrg lgsung pd ngirane omicron,takut flu batuk pilek sekarang langsung pada ngirane omicron,takut flu batuk pilek sekarang langsung pada ngirane omicron,takut flu batuk pilek sekarang langsung pada ngirane omicron,1
"Kaca mata nya kurang tebal kali makanya dia gak nampak apa yg dia tulis dulu, apa dia udah kena virus omicron ya",kaca mata nya kurang tebal kali makanya dia gak nampak apa yg dia tulis dulu apa dia udah kena virus omicron ya,kaca tebal gak nampak yg tulis udah virus omicron,kaca tebal enggak menampak yang tulis sudah virus omicron,kaca tebal enggak menampak yang tulis sudah virus omicron,kaca tebal tidak tampak yang tulis sudah virus omicron,0
mohon diperpanjang cutinya krn omicron,mohon diperpanjang cutinya krn omicron,cuti krn omicron,cuti karena omicron,cuti karena omicron,cuti karena omicron,1
Mungkin keluarga ini mengendors Omicron. Yang susah rakyat kecil,mungkin keluarga ini mengendors omicron yang susah rakyat kecil,keluarga mengendors omicron susah rakyat,keluarga mengendors omicron susah rakyat,keluarga mengendors omicron susah rakyat,keluarga mengendors omicron susah rakyat,0
"Ngaco manehmah, yang bawa eta omicron orang kaya. Yang sengsara orang miskin. Cicing wae atuh di imah, teu ngartos acan",ngaco manehmah yang bawa eta omicron orang kaya yang sengsara orang miskin cicing wae atuh di imah teu ngartos acan,ngaco manehmah bawa eta omicron kaya sengsara miskin cicing wae atuh imah teu ngartos acan,mengaco manehmah bawa eta omicron kayak sengsara miskin cicing wae kalau begitu imah teu ngartos acan,mengaco manehmah bawa eta omicron kayak sengsara miskin cicing wae kalau begitu imah teu ngartos acan,aco manehmah bawa eta omicron kayak sengsara miskin cicing wae kalau begitu imah teu ngartos acan,0
"Wkwkwkwkw iy... feelingku akan jadi ""yaudah lah ya ~"". IMO fase Omicron ini penentuan virusnya makin ganas atau makin lemah. We'll see in -2 months",wkwkwkwkw iy feelingku akan jadi yaudah lah ya imo fase omicron ini penentuan virusnya makin ganas atau makin lemah we ll see in months,wkwkwkwkw iy feelingku yaudah imo fase omicron virus ganas lemah we ll see in months,wkwkwkwkw iya feelingku ya sudah imo fase omicron virus ganas lemah we ll sih ini months,wkwkwkwkw iya feelingku iya sudah imo fase omicron virus ganas lemah we ll sih ini months,wkwkwkwkw iya feelingku iya sudah imo fase omicron virus ganas lemah we ll sih ini months,1
"Selamat memasuki tahun WFH. Resiko Omicron meningkat, semakin menurun untuk peluang WFO.",selamat memasuki tahun wfh resiko omicron meningkat semakin menurun untuk peluang wfo,selamat pasuk tahun wfh resiko omicron tingkat turun peluang wfo,selamat pasuk tahun wfh resiko omicron tingkat turun peluang wfo,selamat pasuk tahun wfh resiko omicron tingkat turun peluang wfo,selamat pasuk tahun wfh resiko omicron tingkat turun peluang wfo,0
"Heran, orang kok pada suka keluarga anang-ashanty???? I mean, ini keluarga tuh rada problematik, terutama si cewe yg pernah ngegas ngebela lakinya tahun berapa dah tuh, tapi sempat rame wkwk. Sekarang pulang liburan bawa omicron tsaay",heran orang kok pada suka keluarga anang ashanty i mean ini keluarga tuh rada problematik terutama si cewe yg pernah ngegas ngebela lakinya tahun berapa dah tuh tapi sempat rame wkwk sekarang pulang liburan bawa omicron tsaay,heran suka keluarga anang ashanty mean keluarga tuh rada problematik utama si cewe yg ngegas ngebela laki tahun dah tuh rame wkwk pulang libur bawa omicron tsaay,heran suka keluarga anang ashanty mean keluarga itu rada problematik utama sih cewek yang ngegas membela laki tahun deh itu ramai tertawa pulang libur bawa omicron tsaay,heran suka keluarga anang ashanty mean keluarga itu rada problematik utama sih cewek yang ngegas membela laki tahun deh itu ramai tertawa pulang libur bawa omicron tsaay,heran suka keluarga anang ashanty mean keluarga itu rada problematik utama sih cewek yang ngegas bela laki tahun deh itu ramai tertawa pulang libur bawa omicron tsaay,0
"Tadi pagi trendingnya mas Anang dengan model rambut baru. siang ini giliran mbk Ashanty yang trending karena diindikasi positif omicron. Cepat sembuh mbak,",tadi pagi trendingnya mas anang dengan model rambut baru siang ini giliran mbk ashanty yang trending karena diindikasi positif omicron cepat sembuh mbak,pagi trendingnya mas anang model rambut siang gilir mbk ashanty trending indikasi positif omicron cepat sembuh mbak,pagi trendingnya mas anang model rambut siang gilir mbak ashanty trend indikasi positif omicron cepat sembuh mbak,pagi trendingnya mas anang model rambut siang gilir mbak ashanty trend indikasi positif omicron cepat sembuh mbak,pagi trendingnya mas anang model rambut siang gilir mbak ashanty trend indikasi positif omicron cepat sembuh mbak,1
"Btw emng omicron ini engga kyk delta ya, jd sbnrnya cukup isoman aja. Untungnya udh bnyk yg vaksin",btw emng omicron ini engga kyk delta ya jd sbnrnya cukup isoman aja untungnya udh bnyk yg vaksin,btw emng omicron engga kyk delta jd sbnrnya isoman aja untung udh bnyk yg vaksin,ngomong-ngomong memang omicron enggak kayak delta jadi sbnrnya isoman saja untung sudah banyak yang vaksin,ngomong-ngomong memang omicron enggak kayak delta jadi sbnrnya isoman saja untung sudah banyak yang vaksin,omong omong memang omicron tidak kayak delta jadi sbnrnya isoman saja untung sudah banyak yang vaksin,1
"hehe jan lupa abis ini di angkat jdi duta omicron ya ,,,",hehe jan lupa abis ini di angkat jdi duta omicron ya,hehe jan lupa abis angkat jdi duta omicron,he jangan lupa habis angkat jadi duta omicron,he jangan lupa habis angkat jadi duta omicron,he jangan lupa habis angkat jadi duta omicron,0
"Jangan terlalu menghujat bro,sekaligus kan ashanty ini bisa dijadiin kelinci percobaan klo dia yg punya auto imun aja gk bergejala berat dan selamat ya kita kan tenang aja ngadepin omicron ini",jangan terlalu menghujat bro sekaligus kan ashanty ini bisa dijadiin kelinci percobaan klo dia yg punya auto imun aja gk bergejala berat dan selamat ya kita kan tenang aja ngadepin omicron ini,hujat bro ashanty dijadiin kelinci coba klo yg auto imun aja gk gejala berat selamat tenang aja ngadepin omicron,hujat saudara laki-laki ashanty dijadikan kelinci coba kalo yang auto imun saja enggak gejala berat selamat tenang saja ngadepin omicron,hujat saudara laki-laki ashanty dijadikan kelinci coba kalo yang auto imun saja enggak gejala berat selamat tenang saja ngadepin omicron,hujat saudara laki laki ashanty jadi kelinci coba kalau yang auto imun saja tidak gejala berat selamat tenang saja ngadepin omicron,1
"Selain penyanyi cantik tersebut,menantu dan anak, beserta beberapa keluarga dari besannya juga terkonfirmasi positif Covid-19 varian omicron, menurut catatan dari KBRI Ankara Turki, mereka kebanyakan berada di kota Istanbul dan Izmir yang merupakan destinasi wisata utama Turki",selain penyanyi cantik tersebut menantu dan anak beserta beberapa keluarga dari besannya juga terkonfirmasi positif covid varian omicron menurut catatan dari kbri ankara turki mereka kebanyakan berada di kota istanbul dan izmir yang merupakan destinasi wisata utama turki,nyanyi cantik menantu anak keluarga besan konfirmasi positif covid varian omicron catat kbri ankara turki kota istanbul izmir destinasi wisata utama turki,nyanyi cantik menantu anak keluarga besan konfirmasi positif covid varian omicron catat kbri ankara turki kota istanbul izmir destinasi wisata utama turki,nyanyi cantik menantu anak keluarga besan konfirmasi positif covid varian omicron catat kbri ankara turki kota istanbul izmir destinasi wisata utama turki,nyanyi cantik menantu anak keluarga besan konfirmasi positif covid varian omicron catat kbri ankara turki kota istanbul izmir destinasi wisata utama turki,1
"dia sudah tau risiko mengabaikan himbauan pemerintah ,berlibur atau bepergian keluar negeri berisiko terpapar covid Omicron",dia sudah tau risiko mengabaikan himbauan pemerintah berlibur atau bepergian keluar negeri berisiko terpapar covid omicron,tau risiko abai himbauan perintah libur pergi negeri risiko papar covid omicron,tahu risiko abai himbauan perintah libur pergi negeri risiko papar covid omicron,tahu risiko abai himbauan perintah libur pergi negeri risiko papar covid omicron,tahu risiko abai himbauan perintah libur pergi negeri risiko papar covid omicron,0
Ashanty kena omicron???? LAGIAN SIHH!!!!! SIAPA SURUH LU KELUAR NEGERIIIIII. MANA ORANG2 BAWAANNYA JUGA PADA POSITIP. KESEL BANGET GUE AMA ARTIS KADANG2 pada kaga mikir,ashanty kena omicron lagian sihh siapa suruh lu keluar negeriiiiii mana orang bawaannya juga pada positip kesel banget gue ama artis kadang pada kaga mikir,ashanty omicron sihh suruh lu negeriiiiii bawa positip kesel banget gue ama artis kadang kaga mikir,ashanty omicron sih suruh kamu negeriiiiii bawa positip kesel banget saya sama artis kadang kagak mikir,ashanty omicron sih suruh kamu negeriiiiii bawa positip kesel banget aku sama artis kadang kagak mikir,ashanty omicron sih suruh kamu negeriiiiii bawa positip kesel banget aku sama artis kadang tidak mikir,0
